customer_id,order_id,order_date,product_id,category,brand,amount,quantity
C03339,O0033554,2025-06-03,SPO-COL-0349,Sports,Columbia,182.03,1
C00900,O0009428,2025-10-01,FAS-UNI-0575,Fashion,Uniqlo,190.2,1
C00023,O0000200,2025-08-28,HOM-OXO-0240,Home,OXO,253.06,2
C01196,O0012448,2024-12-05,BEA-CER-0399,Beauty,CeraVe,34.36,1
C03922,O0039490,2026-01-03,GRO-NES-0110,Grocery,Nestle,52.6,1
C04234,O0042725,2026-01-09,GRO-HEI-0178,Grocery,Heinz,21.33,1
C01023,O0010823,2025-06-29,ELE-ANK-0483,Electronics,Anker,424.16,1
C04939,O0049499,2025-02-15,ELE-SON-0752,Electronics,Sony,1067.12,3
C00415,O0004145,2025-07-11,ELE-LOG-0404,Electronics,Logitech,115.4,1
C03672,O0036959,2024-12-12,SPO-WIL-0301,Sports,Wilson,91.22,1
C04276,O0043107,2026-05-17,BOO-HAR-0017,Books,HarperCollins,60.44,1
C03847,O0038696,2025-06-03,TOY-HAS-0232,Toys,Hasbro,75.06,1
C00597,O0006189,2025-07-03,GRO-NES-0654,Grocery,Nestle,114.13,3
C00152,O0001415,2025-06-30,ELE-SAM-0440,Electronics,Samsung,284.15,1
C01805,O0018472,2025-01-10,GRO-PEP-0340,Grocery,PepsiCo,26.99,1
C02914,O0029283,2026-02-28,GRO-HEI-0022,Grocery,Heinz,41.91,1
C01467,O0015178,2025-03-29,SPO-REE-0102,Sports,Reebok,98.24,1
C03416,O0034305,2025-01-31,GRO-QUA-0030,Grocery,Quaker,39.33,3
C01213,O0012610,2026-01-11,HOM-PHI-0183,Home,Philips,130.48,1
C01163,O0012145,2025-03-26,ELE-APP-0108,Electronics,Apple,422.72,1
C00588,O0006114,2025-04-18,SPO-COL-0681,Sports,Columbia,779.72,3
C01533,O0015909,2025-07-22,SPO-UND-0414,Sports,Under Armour,216.54,2
C00087,O0000822,2025-11-10,GRO-PEP-0042,Grocery,PepsiCo,17.83,2
C01458,O0015119,2025-06-24,TOY-MAT-0162,Toys,Mattel,120.45,1
C01296,O0013467,2025-02-06,BEA-MAY-0403,Beauty,Maybelline,36.33,1
C02603,O0026498,2025-04-14,ELE-ANK-0401,Electronics,Anker,805.17,4
C04180,O0042112,2025-07-04,BEA-DOV-0100,Beauty,Dove,25.9,1
C03005,O0030189,2026-04-28,SPO-REE-0125,Sports,Reebok,362.62,3
C03699,O0037238,2025-12-28,ELE-SON-0721,Electronics,Sony,288.08,1
C03296,O0033110,2025-11-13,ELE-ANK-0344,Electronics,Anker,249.64,1
C03628,O0036481,2025-07-30,FAS-LEV-0605,Fashion,Levi's,188.83,1
C02361,O0024149,2024-12-07,FAS-ZAR-0205,Fashion,Zara,125.26,1
C00532,O0005504,2026-05-05,SPO-WIL-0762,Sports,Wilson,210.64,2
C00394,O0003919,2025-01-16,BOO-HAR-0714,Books,HarperCollins,16.24,1
C03826,O0038479,2025-01-19,TOY-FIS-0616,Toys,Fisher-Price,138.1,2
C02068,O0021124,2025-04-27,GRO-NES-0278,Grocery,Nestle,57.55,1
C04968,O0049718,2025-04-20,HOM-IKE-0402,Home,Ikea,607.8,3
C04191,O0042295,2025-06-01,FAS-LEV-0350,Fashion,Levi's,97.43,1
C04745,O0047610,2025-08-27,BEA-NIV-0780,Beauty,Nivea,89.32,1
C01049,O0011077,2025-08-16,ELE-SON-0544,Electronics,Sony,467.29,1
C04128,O0041515,2025-06-25,HOM-DYS-0282,Home,Dyson,217.3,1
C02163,O0022063,2025-01-30,HOM-DYS-0113,Home,Dyson,64.92,1
C00898,O0009414,2025-07-08,HOM-PHI-0110,Home,Philips,247.68,1
C03810,O0038341,2025-09-20,FAS-UNI-0066,Fashion,Uniqlo,219.47,2
C03017,O0030264,2025-03-13,BEA-CER-0306,Beauty,CeraVe,87.94,1
C04098,O0041253,2025-02-26,SPO-WIL-0220,Sports,Wilson,106.56,2
C01413,O0014645,2025-11-14,HOM-IKE-0748,Home,Ikea,114.02,1
C02586,O0026336,2025-12-29,FAS-ZAR-0513,Fashion,Zara,177.08,1
C02787,O0028103,2025-11-02,BEA-LO-0110,Beauty,L'Oreal,23.8,1
C01694,O0017524,2026-05-02,BEA-DOV-0237,Beauty,Dove,23.92,1
C02412,O0024713,2025-12-16,GRO-NES-0034,Grocery,Nestle,24.77,1
C04017,O0040486,2025-05-03,HOM-OXO-0729,Home,OXO,660.24,2
C00385,O0003851,2025-09-12,GRO-KEL-0288,Grocery,Kellogg's,15.65,1
C03977,O0040041,2025-03-22,HOM-IKE-0073,Home,Ikea,509.9,1
C01474,O0015268,2025-10-15,ELE-LOG-0621,Electronics,Logitech,776.12,1
C04895,O0049147,2025-05-08,BEA-MAY-0098,Beauty,Maybelline,85.44,3
C02985,O0030002,2026-02-17,SPO-PUM-0167,Sports,Puma,72.05,2
C04578,O0045927,2025-09-24,TOY-HAS-0487,Toys,Hasbro,84.06,1
C04337,O0043825,2026-02-24,BEA-MAY-0756,Beauty,Maybelline,117.56,4
C01663,O0017241,2025-06-25,ELE-APP-0314,Electronics,Apple,627.65,2
C00474,O0004893,2025-11-26,GRO-PEP-0727,Grocery,PepsiCo,28.37,1
C00077,O0000726,2025-06-16,GRO-KEL-0068,Grocery,Kellogg's,24.95,1
C02249,O0022950,2024-12-05,BEA-DOV-0054,Beauty,Dove,151.17,4
C03454,O0034658,2025-06-25,BEA-MAY-0001,Beauty,Maybelline,27.71,1
C03697,O0037214,2025-09-14,BEA-LO-0109,Beauty,L'Oreal,55.91,1
C01988,O0020305,2025-02-25,FAS-ZAR-0114,Fashion,Zara,57.9,1
C01474,O0015270,2025-10-29,BOO-PEN-0781,Books,Penguin,48.42,1
C02189,O0022368,2025-06-17,SPO-COL-0629,Sports,Columbia,86.9,2
C04231,O0042685,2025-06-30,SPO-PUM-0253,Sports,Puma,98.6,1
C04661,O0046735,2025-02-14,BEA-MAY-0467,Beauty,Maybelline,38.56,1
C01127,O0011733,2025-02-28,HOM-NIN-0068,Home,Ninja,354.56,3
C01820,O0018620,2025-04-01,HOM-IKE-0621,Home,Ikea,418.42,2
C04826,O0048493,2025-12-29,ELE-SON-0033,Electronics,Sony,328.5,1
C02646,O0026804,2025-05-26,FAS-ZAR-0545,Fashion,Zara,66.05,1
C04384,O0044306,2025-06-05,ELE-SON-0033,Electronics,Sony,583.85,2
C04738,O0047523,2025-01-18,BEA-DOV-0636,Beauty,Dove,20.52,1
C03213,O0032208,2025-02-07,GRO-KEL-0605,Grocery,Kellogg's,140.0,2
C00261,O0002531,2025-09-13,HOM-PHI-0796,Home,Philips,236.2,2
C01721,O0017747,2025-04-11,FAS-UNI-0102,Fashion,Uniqlo,52.03,1
C00802,O0008271,2025-08-21,HOM-NIN-0095,Home,Ninja,89.1,1
C01452,O0015080,2026-01-29,GRO-HEI-0012,Grocery,Heinz,30.48,1
C01314,O0013625,2026-03-20,FAS-ADI-0096,Fashion,Adidas,72.31,1
C03058,O0030639,2025-12-27,SPO-PUM-0527,Sports,Puma,424.94,4
C03036,O0030441,2025-06-09,BEA-NIV-0415,Beauty,Nivea,38.99,1
C03589,O0036057,2026-02-01,ELE-LOG-0769,Electronics,Logitech,533.67,1
C04228,O0042652,2025-08-11,SPO-WIL-0354,Sports,Wilson,89.97,1
C03660,O0036804,2025-05-11,TOY-FIS-0027,Toys,Fisher-Price,61.58,1
C04801,O0048225,2025-11-03,TOY-LEG-0149,Toys,Lego,266.89,4
C02907,O0029227,2025-12-12,BEA-LO-0551,Beauty,L'Oreal,20.61,1
C00544,O0005634,2025-03-05,SPO-PUM-0736,Sports,Puma,83.96,2
C00576,O0005988,2025-04-09,ELE-LOG-0450,Electronics,Logitech,135.77,1
C04786,O0048064,2025-02-17,SPO-REE-0425,Sports,Reebok,76.01,1
C00195,O0001813,2025-05-21,SPO-UND-0321,Sports,Under Armour,111.7,1
C02727,O0027579,2025-11-15,GRO-PEP-0776,Grocery,PepsiCo,48.48,2
C01623,O0016824,2025-05-01,GRO-KEL-0345,Grocery,Kellogg's,25.04,1
C00395,O0003929,2025-01-09,BOO-NO -0460,Books,No Starch,38.27,2
C03706,O0037287,2025-01-25,GRO-QUA-0472,Grocery,Quaker,27.4,1
C02451,O0025046,2025-10-28,GRO-QUA-0217,Grocery,Quaker,33.71,2
C01514,O0015728,2025-06-22,ELE-APP-0716,Electronics,Apple,286.38,1
C02947,O0029601,2025-05-01,FAS-ZAR-0215,Fashion,Zara,70.72,1
C00993,O0010431,2025-01-29,SPO-REE-0204,Sports,Reebok,43.51,1
C02526,O0025769,2025-04-04,FAS-ADI-0656,Fashion,Adidas,83.19,2
C02896,O0029104,2025-02-02,BOO-NO -0732,Books,No Starch,64.75,1
C03636,O0036538,2024-12-12,BEA-LO-0084,Beauty,L'Oreal,21.16,1
C03907,O0039329,2025-10-07,TOY-FIS-0380,Toys,Fisher-Price,164.04,2
C03535,O0035540,2025-07-24,FAS-LEV-0169,Fashion,Levi's,53.59,1
C02782,O0028076,2025-07-15,HOM-OXO-0604,Home,OXO,65.51,1
C01726,O0017841,2026-04-30,HOM-NIN-0799,Home,Ninja,245.52,2
C02751,O0027803,2025-01-17,GRO-PEP-0565,Grocery,PepsiCo,66.32,2
C00742,O0007683,2025-09-28,BEA-CER-0765,Beauty,CeraVe,15.38,1
C02376,O0024280,2025-01-27,GRO-PEP-0323,Grocery,PepsiCo,21.54,1
C03291,O0033071,2025-01-12,FAS-ADI-0799,Fashion,Adidas,368.31,2
C03536,O0035558,2025-11-23,TOY-RAV-0131,Toys,Ravensburger,39.27,2
C03693,O0037190,2026-06-01,SPO-UND-0746,Sports,Under Armour,77.88,1
C04700,O0047150,2025-05-23,HOM-DYS-0306,Home,Dyson,264.97,1
C04677,O0046916,2025-04-04,BEA-CER-0571,Beauty,CeraVe,26.93,1
C00934,O0009802,2026-02-22,ELE-APP-0791,Electronics,Apple,132.29,1
C03859,O0038801,2025-06-22,BOO-HAR-0033,Books,HarperCollins,44.44,3
C02408,O0024670,2025-04-20,GRO-QUA-0374,Grocery,Quaker,30.27,4
C04374,O0044234,2026-03-23,FAS-LEV-0644,Fashion,Levi's,77.49,2
C03192,O0031920,2025-08-27,BEA-DOV-0587,Beauty,Dove,36.41,1
C00695,O0007135,2025-11-26,HOM-OXO-0400,Home,OXO,148.13,1
C03353,O0033705,2025-06-21,GRO-PEP-0319,Grocery,PepsiCo,20.71,1
C02952,O0029661,2026-01-20,FAS-UNI-0412,Fashion,Uniqlo,151.85,1
C01734,O0017894,2024-12-23,BEA-NIV-0349,Beauty,Nivea,31.6,1
C02158,O0022019,2025-03-20,FAS-NIK-0414,Fashion,Nike,25.42,1
C01306,O0013539,2025-05-13,FAS-ADI-0791,Fashion,Adidas,152.92,2
C04278,O0043119,2025-02-02,BOO-OR-0085,Books,O'Reilly,16.12,1
C03620,O0036421,2025-07-10,HOM-OXO-0630,Home,OXO,420.0,1
C00897,O0009406,2025-04-21,GRO-KEL-0186,Grocery,Kellogg's,19.57,1
C01291,O0013414,2025-09-08,ELE-APP-0541,Electronics,Apple,782.7,1
C00651,O0006721,2025-12-20,HOM-PHI-0583,Home,Philips,185.3,2
C01500,O0015602,2026-04-15,TOY-LEG-0394,Toys,Lego,113.99,3
C04440,O0044744,2025-05-17,BEA-DOV-0077,Beauty,Dove,20.02,1
C03120,O0031139,2025-01-19,FAS-ADI-0763,Fashion,Adidas,285.89,2
C00277,O0002730,2024-12-22,HOM-NIN-0334,Home,Ninja,264.64,3
C03804,O0038243,2026-05-18,TOY-RAV-0430,Toys,Ravensburger,87.94,1
C02950,O0029626,2025-10-19,FAS-LEV-0426,Fashion,Levi's,48.86,1
C04773,O0047895,2026-03-23,GRO-NES-0154,Grocery,Nestle,135.33,5
C04178,O0042091,2025-08-05,BEA-DOV-0226,Beauty,Dove,13.28,1
C03619,O0036400,2024-12-25,HOM-PHI-0221,Home,Philips,657.77,4
C00602,O0006245,2025-05-26,GRO-PEP-0154,Grocery,PepsiCo,140.0,2
C00536,O0005546,2024-12-09,HOM-PHI-0281,Home,Philips,138.47,1
C00409,O0004065,2026-01-29,GRO-HEI-0713,Grocery,Heinz,10.89,1
C01232,O0012852,2025-08-29,BEA-NIV-0519,Beauty,Nivea,32.63,2
C02139,O0021803,2025-02-04,BOO-PEN-0542,Books,Penguin,90.2,3
C04087,O0041164,2026-05-05,BOO-OR-0720,Books,O'Reilly,71.86,1
C00601,O0006233,2025-11-07,ELE-SON-0495,Electronics,Sony,189.66,1
C00389,O0003863,2025-01-25,FAS-NIK-0162,Fashion,Nike,57.56,1
C03495,O0035095,2025-08-31,ELE-SAM-0316,Electronics,Samsung,120.03,1
C03988,O0040196,2025-11-05,HOM-NIN-0626,Home,Ninja,951.88,2
C03898,O0039251,2025-07-08,FAS-ZAR-0144,Fashion,Zara,678.12,6
C00600,O0006218,2024-12-16,ELE-LOG-0740,Electronics,Logitech,118.03,1
C03659,O0036776,2025-02-20,TOY-RAV-0401,Toys,Ravensburger,121.45,2
C04262,O0042977,2025-09-17,ELE-SAM-0389,Electronics,Samsung,126.46,1
C04824,O0048468,2025-08-11,HOM-DYS-0732,Home,Dyson,387.11,3
C01430,O0014832,2026-04-27,BOO-HAR-0150,Books,HarperCollins,291.26,2
C02996,O0030093,2025-09-12,ELE-SAM-0595,Electronics,Samsung,1443.65,2
C00850,O0008894,2026-03-19,ELE-APP-0062,Electronics,Apple,338.33,1
C00579,O0006021,2026-01-02,ELE-SON-0291,Electronics,Sony,1458.37,4
C04595,O0046089,2025-07-28,ELE-ANK-0574,Electronics,Anker,497.13,1
C01473,O0015243,2025-04-17,BOO-NO -0301,Books,No Starch,15.57,1
C04505,O0045308,2025-07-24,FAS-UNI-0402,Fashion,Uniqlo,189.34,1
C02609,O0026551,2025-06-11,GRO-QUA-0322,Grocery,Quaker,55.29,1
C00581,O0006035,2025-10-04,HOM-OXO-0175,Home,OXO,127.58,1
C00762,O0007906,2025-10-09,GRO-QUA-0569,Grocery,Quaker,10.72,1
C03213,O0032226,2025-06-30,ELE-ANK-0717,Electronics,Anker,481.12,1
C00579,O0006018,2025-10-24,GRO-NES-0112,Grocery,Nestle,33.78,2
C02147,O0021880,2025-02-13,BOO-PEN-0424,Books,Penguin,49.4,1
C00286,O0002792,2025-12-23,BEA-NIV-0253,Beauty,Nivea,85.98,6
C04224,O0042606,2025-06-01,SPO-PUM-0039,Sports,Puma,187.68,1
C00558,O0005824,2025-12-23,SPO-COL-0424,Sports,Columbia,102.76,1
C01482,O0015388,2025-11-23,TOY-FIS-0194,Toys,Fisher-Price,54.35,1
C02943,O0029562,2025-12-03,GRO-HEI-0139,Grocery,Heinz,137.75,5
C03921,O0039476,2025-03-03,GRO-NES-0549,Grocery,Nestle,12.2,1
C00033,O0000293,2025-05-21,TOY-LEG-0114,Toys,Lego,27.84,1
C01631,O0016958,2025-06-30,FAS-ZAR-0174,Fashion,Zara,136.49,1
C03089,O0030861,2025-08-12,ELE-ANK-0372,Electronics,Anker,329.72,1
C01363,O0014074,2025-10-23,ELE-SAM-0107,Electronics,Samsung,681.74,3
C02145,O0021857,2024-12-10,GRO-HEI-0134,Grocery,Heinz,17.15,1
C02165,O0022080,2025-04-28,HOM-IKE-0152,Home,Ikea,83.23,1
C01641,O0017024,2026-01-12,GRO-HEI-0616,Grocery,Heinz,17.53,1
C00842,O0008740,2025-02-19,GRO-PEP-0530,Grocery,PepsiCo,14.96,1
C01527,O0015826,2025-03-21,ELE-SAM-0268,Electronics,Samsung,459.4,1
C00279,O0002742,2026-04-05,GRO-NES-0012,Grocery,Nestle,64.86,2
C01752,O0018049,2025-05-09,FAS-UNI-0012,Fashion,Uniqlo,159.6,1
C04992,O0049937,2025-06-20,BOO-OR-0775,Books,O'Reilly,40.75,1
C01675,O0017373,2025-11-21,GRO-NES-0491,Grocery,Nestle,40.23,1
C02159,O0022022,2025-05-19,HOM-IKE-0113,Home,Ikea,2572.59,5
C04625,O0046365,2026-04-20,FAS-ADI-0099,Fashion,Adidas,61.1,1
C02302,O0023538,2025-12-06,FAS-NIK-0787,Fashion,Nike,102.37,1
C04525,O0045500,2025-11-12,HOM-DYS-0760,Home,Dyson,185.5,1
C03988,O0040186,2025-06-10,FAS-NIK-0431,Fashion,Nike,55.45,1
C00918,O0009614,2025-05-28,HOM-PHI-0402,Home,Philips,482.13,2
C04289,O0043282,2025-07-31,GRO-KEL-0748,Grocery,Kellogg's,35.8,1
C03767,O0037892,2025-10-06,ELE-SON-0773,Electronics,Sony,608.82,1
C02570,O0026179,2025-06-30,FAS-NIK-0024,Fashion,Nike,240.93,2
C04575,O0045893,2025-01-18,BEA-MAY-0341,Beauty,Maybelline,61.61,1
C02047,O0020934,2026-03-27,FAS-NIK-0065,Fashion,Nike,104.24,1
C04070,O0040972,2025-08-15,FAS-ADI-0730,Fashion,Adidas,71.68,2
C02176,O0022225,2026-03-18,HOM-OXO-0725,Home,OXO,232.53,1
C02384,O0024382,2025-02-05,TOY-LEG-0137,Toys,Lego,33.64,1
C03469,O0034856,2025-03-03,SPO-REE-0699,Sports,Reebok,32.98,1
C04837,O0048578,2025-08-14,TOY-RAV-0335,Toys,Ravensburger,152.91,2
C03833,O0038537,2026-03-04,BEA-NIV-0595,Beauty,Nivea,775.17,4
C03179,O0031756,2026-05-05,FAS-ZAR-0206,Fashion,Zara,61.08,1
C00747,O0007754,2025-04-15,BEA-DOV-0443,Beauty,Dove,28.03,1
C04657,O0046639,2025-05-31,ELE-SON-0226,Electronics,Sony,264.5,1
C04338,O0043835,2025-07-12,HOM-NIN-0475,Home,Ninja,95.75,1
C02577,O0026236,2025-09-27,HOM-PHI-0439,Home,Philips,476.3,2
C04374,O0044230,2025-11-20,GRO-PEP-0299,Grocery,PepsiCo,24.26,1
C04950,O0049597,2025-05-05,GRO-KEL-0388,Grocery,Kellogg's,44.64,2
C01811,O0018553,2025-03-07,BOO-PEN-0764,Books,Penguin,34.0,1
C04280,O0043137,2025-09-05,BOO-PEA-0086,Books,Pearson,156.81,5
C03649,O0036673,2024-12-14,BEA-MAY-0494,Beauty,Maybelline,35.61,1
C04324,O0043650,2026-05-12,HOM-PHI-0269,Home,Philips,163.95,1
C00395,O0003941,2026-02-28,GRO-QUA-0085,Grocery,Quaker,93.99,3
C03156,O0031497,2025-01-24,ELE-APP-0524,Electronics,Apple,256.72,4
C02616,O0026594,2026-01-08,ELE-APP-0783,Electronics,Apple,532.13,1
C02342,O0023922,2025-04-17,SPO-WIL-0219,Sports,Wilson,120.03,1
C02594,O0026403,2025-07-13,BEA-MAY-0536,Beauty,Maybelline,31.45,1
C04579,O0045943,2025-09-24,ELE-SAM-0146,Electronics,Samsung,7197.1,5
C04830,O0048526,2025-05-24,FAS-ADI-0296,Fashion,Adidas,628.24,3
C01783,O0018316,2025-10-09,GRO-KEL-0486,Grocery,Kellogg's,7.75,1
C03666,O0036894,2025-12-11,GRO-QUA-0362,Grocery,Quaker,65.37,1
C02632,O0026696,2025-06-25,SPO-UND-0340,Sports,Under Armour,439.06,4
C04182,O0042128,2025-02-05,GRO-KEL-0143,Grocery,Kellogg's,33.88,1
C01371,O0014171,2025-07-23,GRO-HEI-0534,Grocery,Heinz,69.8,1
C00375,O0003733,2025-07-04,FAS-UNI-0171,Fashion,Uniqlo,99.67,1
C00760,O0007882,2025-12-13,TOY-HAS-0317,Toys,Hasbro,29.57,1
C00579,O0006017,2025-09-30,GRO-PEP-0087,Grocery,PepsiCo,26.1,1
C02259,O0023030,2026-02-15,GRO-PEP-0645,Grocery,PepsiCo,13.64,1
C03531,O0035474,2026-01-07,BEA-MAY-0118,Beauty,Maybelline,62.21,2
C04963,O0049686,2025-03-12,TOY-FIS-0417,Toys,Fisher-Price,83.58,1
C00469,O0004818,2025-09-16,ELE-SAM-0681,Electronics,Samsung,946.54,1
C04146,O0041694,2024-12-20,ELE-LOG-0037,Electronics,Logitech,973.89,3
C01153,O0012008,2026-05-28,BEA-LO-0486,Beauty,L'Oreal,101.25,2
C04108,O0041328,2025-04-14,SPO-COL-0304,Sports,Columbia,136.44,1
C00908,O0009507,2026-05-28,GRO-QUA-0607,Grocery,Quaker,60.99,2
