customer_id,orders_last_30d,orders_last_90d,total_spend_90d,avg_order_value_90d,category_diversity_90d,avg_quantity_per_order,days_since_last_order,customer_tenure_days,favorite_category,label
C00001,0,2,205.8,102.9,2,1.0,64.0,178.0,Fashion,0
C00002,0,0,0.0,0.0,0,0.0,90.0,355.0,unknown,0
C00003,0,0,0.0,0.0,0,0.0,224.0,283.0,unknown,0
C00004,1,1,191.84,191.84,1,1.0,16.0,381.0,Sports,0
C00005,2,5,802.26,160.452,5,1.2,3.0,451.0,Beauty,1
C00006,0,1,408.62,408.62,1,2.0,73.0,414.0,Electronics,1
C00007,0,2,846.53,423.265,2,1.5,54.0,324.0,Electronics,0
C00008,1,1,38.54,38.54,1,1.0,19.0,380.0,Toys,0
C00009,1,4,524.22,131.055,3,1.25,12.0,449.0,Fashion,1
C00010,1,1,148.33,148.33,1,1.0,12.0,351.0,Fashion,1
C00011,0,0,0.0,0.0,0,0.0,260.0,388.0,unknown,0
C00012,1,1,29.74,29.74,1,1.0,9.0,443.0,Books,0
C00013,0,1,17.49,17.49,1,1.0,32.0,365.0,Beauty,0
C00014,0,0,0.0,0.0,0,0.0,211.0,211.0,unknown,0
C00015,2,4,291.66,72.915,4,1.25,8.0,340.0,Beauty,0
C00016,0,0,0.0,0.0,0,0.0,321.0,380.0,unknown,0
C00017,1,1,140.19,140.19,1,3.0,24.0,429.0,Books,0
C00018,2,4,365.99,91.4975,3,1.0,0.0,438.0,Fashion,0
C00019,0,2,171.25,85.625,1,2.0,34.0,371.0,Grocery,1
C00020,0,1,92.92,92.92,1,1.0,37.0,403.0,Beauty,0
C00021,2,5,1442.82,288.56399999999996,5,1.8,14.0,339.0,Beauty,0
C00022,0,0,0.0,0.0,0,0.0,269.0,295.0,unknown,0
C00023,0,0,0.0,0.0,0,0.0,185.0,355.0,unknown,1
C00024,0,1,15.61,15.61,1,1.0,86.0,325.0,Grocery,0
C00025,1,4,199.59,49.8975,3,1.5,23.0,367.0,Books,0
C00026,0,0,0.0,0.0,0,0.0,249.0,402.0,unknown,0
C00027,2,4,1788.1499999999999,447.03749999999997,4,2.0,17.0,335.0,Electronics,1
C00028,1,2,351.54,175.77,2,2.0,13.0,395.0,Electronics,0
C00029,1,1,250.07,250.07,1,1.0,16.0,438.0,Electronics,0
C00030,0,0,0.0,0.0,0,0.0,135.0,361.0,unknown,0
C00031,0,1,50.88,50.88,1,1.0,59.0,355.0,Fashion,0
C00032,1,1,80.3,80.3,1,1.0,23.0,199.0,Fashion,0
C00033,0,0,0.0,0.0,0,0.0,168.0,427.0,unknown,0
C00034,0,0,0.0,0.0,0,0.0,329.0,380.0,unknown,0
C00035,1,2,2830.88,1415.44,1,1.5,1.0,104.0,Electronics,0
C00036,0,0,0.0,0.0,0,0.0,196.0,451.0,unknown,0
C00037,1,2,176.04000000000002,88.02000000000001,1,1.0,27.0,370.0,Fashion,0
C00038,0,0,0.0,0.0,0,0.0,160.0,287.0,unknown,1
C00039,0,0,0.0,0.0,0,0.0,177.0,370.0,unknown,0
C00040,0,1,107.43,107.43,1,1.0,51.0,170.0,Fashion,1
C00041,1,7,2136.66,305.2371428571428,5,1.1428571428571428,15.0,230.0,Electronics,1
C00042,0,0,0.0,0.0,0,0.0,191.0,290.0,unknown,0
C00043,1,1,17.81,17.81,1,1.0,7.0,430.0,Books,1
C00044,0,0,0.0,0.0,0,0.0,94.0,412.0,unknown,0
C00045,1,2,1258.07,629.035,1,2.5,5.0,444.0,Home,0
C00046,1,2,451.4,225.7,2,2.0,19.0,343.0,Grocery,0
C00047,0,0,0.0,0.0,0,0.0,152.0,433.0,unknown,0
C00048,0,1,38.23,38.23,1,1.0,43.0,412.0,Grocery,0
C00049,0,1,703.82,703.82,1,2.0,85.0,288.0,Electronics,0
C00050,5,12,1186.77,98.8975,5,1.9166666666666667,6.0,444.0,Beauty,1
C00051,0,0,0.0,0.0,0,0.0,190.0,415.0,unknown,0
C00052,2,7,1210.33,172.9042857142857,5,1.2857142857142858,20.0,416.0,Books,0
C00053,0,1,61.09,61.09,1,1.0,75.0,371.0,Sports,0
C00054,0,3,426.33,142.10999999999999,3,1.0,42.0,411.0,Beauty,0
C00055,0,0,0.0,0.0,0,0.0,103.0,438.0,unknown,1
C00056,0,0,0.0,0.0,0,0.0,110.0,296.0,unknown,0
C00057,1,4,1747.84,436.96,3,1.0,14.0,246.0,Electronics,0
C00058,1,3,298.48,99.49333333333334,3,1.0,12.0,383.0,Electronics,0
C00059,1,2,436.7,218.35,2,1.5,13.0,435.0,Fashion,0
C00060,0,2,782.4200000000001,391.21000000000004,2,1.0,64.0,447.0,Books,1
C00061,0,1,76.68,76.68,1,1.0,77.0,261.0,Toys,0
C00062,1,4,209.25,52.3125,4,1.0,28.0,273.0,Books,0
C00063,1,1,299.88,299.88,1,5.0,26.0,260.0,Toys,0
C00064,0,1,61.37,61.37,1,1.0,41.0,434.0,Fashion,0
C00065,0,1,36.95,36.95,1,1.0,89.0,389.0,Books,0
C00066,1,2,119.35,59.675,2,1.0,29.0,416.0,Fashion,0
C00067,1,3,428.58,142.85999999999999,3,1.0,12.0,441.0,Grocery,0
C00068,0,0,0.0,0.0,0,0.0,102.0,438.0,unknown,0
C00069,0,0,0.0,0.0,0,0.0,184.0,422.0,unknown,1
C00070,1,1,50.14,50.14,1,1.0,28.0,244.0,Toys,0
C00071,0,0,0.0,0.0,0,0.0,186.0,330.0,unknown,0
C00072,0,1,485.02,485.02,1,1.0,54.0,391.0,Home,1
C00073,0,1,20.7,20.7,1,1.0,84.0,411.0,Grocery,1
C00074,0,0,0.0,0.0,0,0.0,277.0,442.0,unknown,0
C00075,0,0,0.0,0.0,0,0.0,253.0,375.0,unknown,0
C00076,0,0,0.0,0.0,0,0.0,261.0,444.0,unknown,0
